ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
0,45797,45797,67783,136091,0.783,0.000,0,265.043,531.605,264.484,0.000,267.121,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110399.336,1011.672,2.000,1.903,1.903,0
1,50407,96204,61439,127668,0.814,0.000,0,239.996,498.703,245.383,0.000,253.316,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110399.336,2005.340,2.000,1.993,1.946,0
2,55791,151995,65536,127410,0.819,0.000,0,256.000,497.695,250.480,0.000,247.219,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110399.336,3016.004,2.000,2.031,1.974,0
3,57529,209524,65535,130142,0.824,0.000,0,255.996,508.367,255.922,0.000,252.445,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110399.336,4044.422,2.000,2.023,1.986,0
4,58782,268306,65536,132446,0.827,0.000,0,256.000,517.367,255.879,0.000,261.488,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110400.836,5072.586,2.000,1.987,1.986,0
5,59420,327726,65531,130287,0.828,0.000,0,255.980,508.934,255.875,0.000,253.059,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110402.336,6072.555,2.000,1.965,1.983,0
6,60730,388456,65534,129605,0.831,0.000,0,255.992,506.270,255.742,0.000,250.527,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110405.336,7096.676,2.000,2.023,1.988,0
7,57237,445693,61438,128772,0.832,0.000,0,239.992,503.016,248.617,0.000,254.398,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110405.336,8094.094,2.000,1.983,1.988,0
8,62138,507831,65535,127880,0.835,0.000,0,255.996,499.531,246.965,0.000,252.566,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110405.336,9103.387,2.000,2.020,1.991,0
9,63347,571178,65531,128423,0.837,0.000,0,255.980,501.652,255.660,0.000,245.992,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110405.336,10117.613,2.000,2.022,1.994,0
10,63884,635062,65535,132852,0.838,0.000,0,255.996,518.953,255.711,0.000,263.242,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110405.336,11171.090,2.000,2.030,1.998,0
11,64646,699708,65535,130228,0.840,0.000,0,255.996,508.703,255.676,0.000,253.027,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110406.836,12163.824,2.000,1.952,1.994,0
12,66157,765865,65527,130459,0.843,0.000,0,255.965,509.605,255.547,0.000,254.059,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110408.336,13192.551,2.000,2.019,1.996,0
13,63209,829074,61594,129193,0.845,0.000,0,240.602,504.660,255.590,0.000,249.070,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110408.336,14176.754,2.000,1.950,1.992,0
14,67788,896862,65367,127839,0.846,0.000,0,255.340,499.371,243.930,0.000,255.441,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110408.336,15177.547,2.000,2.004,1.993,0
15,68805,965667,65532,127933,0.848,0.000,0,255.984,499.738,251.043,0.000,248.695,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110408.336,16192.871,2.000,2.032,1.996,0
16,69390,1035057,65533,130981,0.849,0.000,0,255.988,511.645,255.320,0.000,256.324,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110408.336,17218.691,2.000,2.005,1.996,0
17,70716,1105773,65530,129191,0.852,0.000,0,255.977,504.652,255.504,0.000,249.148,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110411.336,18203.738,2.000,1.952,1.994,0
18,66874,1172647,61433,128738,0.853,0.000,0,239.973,502.883,251.129,0.000,251.754,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110411.336,19203.504,2.000,1.988,1.993,0
19,72551,1245198,65527,125780,0.855,0.000,0,255.965,491.328,243.855,0.000,247.473,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110411.336,20190.422,2.000,2.009,1.994,0
20,69144,1314342,61481,128752,0.857,0.000,0,240.160,502.938,255.496,0.000,247.441,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,21205.090,2.000,2.017,1.995,0
21,74231,1388573,65470,127910,0.858,0.000,0,255.742,499.648,244.430,0.000,255.219,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,22211.504,2.000,2.014,1.996,0
22,75237,1463810,65527,129159,0.859,0.000,0,255.965,504.527,250.227,0.000,254.301,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,23235.859,2.000,2.030,1.998,0
23,76094,1539904,65529,131030,0.861,0.000,0,255.973,511.836,255.477,0.000,256.359,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,24238.512,2.000,1.959,1.996,0
24,77173,1617077,65526,128808,0.862,0.000,0,255.961,503.156,255.137,0.000,248.020,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,25257.398,2.000,2.025,1.997,0
25,77279,1694356,64812,128525,0.864,0.000,0,253.172,502.051,255.340,0.000,246.711,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,26249.180,2.000,1.975,1.996,0
26,75399,1769755,62153,127268,0.866,0.000,0,242.785,497.141,241.621,0.000,255.520,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,27242.660,2.000,1.998,1.996,0
27,79843,1849598,65531,127237,0.866,0.000,0,255.980,497.020,253.176,0.000,243.844,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,28249.266,2.000,2.025,1.997,0
28,76907,1926505,62025,129553,0.868,0.000,0,242.285,506.066,255.316,0.000,250.750,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,29264.773,2.000,2.007,1.998,0
29,81403,2007908,65247,130652,0.869,0.000,0,254.871,510.359,255.180,0.000,255.180,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,30262.273,2.000,1.955,1.996,0
30,82515,2090423,65207,128694,0.871,0.000,0,254.715,502.711,247.738,0.000,254.973,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,31265.332,2.000,1.995,1.996,0
